id,age,side,alcohol,age_weight,side_weight,alcohol_weight,recommended_table
8,20,Невеста,False,1,1,"0,2",5
12,20,Невеста,True,1,1,"0,2",5
13,20,Невеста,False,1,1,"0,2",5
14,20,Невеста,True,1,1,"0,2",5
21,20,Жених,True,1,1,"0,2",5
23,20,Жених,True,1,1,"0,2",5
24,20,Жених,False,1,1,"0,2",5
31,20,Невеста,False,1,1,"0,2",5
46,20,Невеста,False,1,1,"0,2",5
49,20,Невеста,False,1,1,"0,2",5
15,30,Жених,True,1,1,"0,2",1
2,30,Невеста,False,1,1,"0,2",6
3,30,Невеста,True,1,1,"0,2",6
4,30,Невеста,True,1,1,"0,2",6
6,30,Невеста,True,1,1,"0,2",6
9,30,Невеста,True,1,1,"0,2",6
10,30,Невеста,True,1,1,"0,2",6
16,30,Жених,False,1,1,"0,2",1
17,30,Жених,True,1,1,"0,2",1
20,30,Жених,True,1,1,"0,2",1
26,30,Невеста,False,1,1,"0,2",6
32,30,Жених,True,1,1,"0,2",1
33,30,Жених,True,1,1,"0,2",1
36,30,Жених,True,1,1,"0,2",1
42,30,Невеста,True,1,1,"0,2",6
56,30,Жених,True,1,1,"0,2",1
57,30,Жених,True,1,1,"0,2",1
58,30,Жених,True,1,1,"0,2",1
59,30,Жених,True,1,1,"0,2",6
1,40,Невеста,False,1,1,"0,2",3
11,40,Невеста,True,1,1,"0,2",3
27,40,Невеста,True,1,1,"0,2",3
30,40,Невеста,True,1,1,"0,2",3
34,40,Невеста,False,1,1,"0,2",3
37,40,Невеста,True,1,1,"0,2",3
25,40,Невеста,True,1,1,"0,2",3
38,50,Жених,True,1,1,"0,2",4
39,50,Жених,True,1,1,"0,2",4
50,50,Жених,True,1,1,"0,2",4
51,50,Жених,True,1,1,"0,2",4
5,50,Невеста,False,1,1,"0,2",4
7,50,Невеста,True,1,1,"0,2",4
18,50,Жених,True,1,1,"0,2",4
19,50,Жених,True,1,1,"0,2",4
22,50,Жених,True,1,1,"0,2",4
28,50,Жених,True,1,1,"0,2",4
29,50,Жених,True,1,1,"0,2",3
40,50,Невеста,True,1,1,"0,2",3
41,50,Невеста,True,1,1,"0,2",3
35,50,Жених,True,1,1,"0,2",6
45,50,Невеста,True,1,1,"0,2",2
43,80,Невеста,True,1,1,"0,2",2
44,80,Невеста,True,1,1,"0,2",2
47,80,Невеста,True,1,1,"0,2",2
48,80,Невеста,True,1,1,"0,2",2
52,80,Жених,True,1,1,"0,2",2
53,80,Жених,True,1,1,"0,2",2
54,80,Жених,True,1,1,"0,2",2
55,80,Жених,True,1,1,"0,2",2
